"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Delete exercise","LMS service","Tue Mar 10 19:41:58 UTC 2026","passed","Tue Mar 10 19:41:58 UTC 2026","Delete entity"," Exercises","",""
"","23","Create exercise","LMS service","Tue Mar 10 19:41:57 UTC 2026","passed","Tue Mar 10 19:41:57 UTC 2026","Create entity"," Exercises","",""
"","23","Create file","LMS service","Tue Mar 10 19:42:00 UTC 2026","passed","Tue Mar 10 19:42:00 UTC 2026","Create entity","Files","",""
"","14","Get file with incorrect file id","LMS service","Tue Mar 10 19:42:03 UTC 2026","passed","Tue Mar 10 19:42:03 UTC 2026","Validate entity","Files","",""
"","557","Login with correct email and password","LMS service","Tue Mar 10 19:41:54 UTC 2026","passed","Tue Mar 10 19:41:55 UTC 2026","Login","Authentication","",""
"","25","Create course","LMS service","Tue Mar 10 19:41:56 UTC 2026","passed","Tue Mar 10 19:41:56 UTC 2026","Create entity","Courses","",""
"","537","Create user with domain: gmail.com","LMS service","Tue Mar 10 19:42:03 UTC 2026","passed","Tue Mar 10 19:42:03 UTC 2026","Create entity","Users","",""
"","545","Create user with domain: mail.ru","LMS service","Tue Mar 10 19:42:02 UTC 2026","passed","Tue Mar 10 19:42:03 UTC 2026","Create entity","Users","",""
"","294","Delete file","LMS service","Tue Mar 10 19:42:02 UTC 2026","passed","Tue Mar 10 19:42:02 UTC 2026","Delete entity","Files","",""
"","22","Get exercises","LMS service","Tue Mar 10 19:42:00 UTC 2026","passed","Tue Mar 10 19:42:00 UTC 2026","Get entities"," Exercises","",""
"","288","Create user with domain: example.com","LMS service","Tue Mar 10 19:42:03 UTC 2026","passed","Tue Mar 10 19:42:03 UTC 2026","Create entity","Users","",""
"","265","Create file with empty directory","LMS service","Tue Mar 10 19:42:02 UTC 2026","passed","Tue Mar 10 19:42:02 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Tue Mar 10 19:42:04 UTC 2026","passed","Tue Mar 10 19:42:04 UTC 2026","Get entity","Users","",""
"","27","Update exercise","LMS service","Tue Mar 10 19:41:57 UTC 2026","passed","Tue Mar 10 19:41:57 UTC 2026","Update entity"," Exercises","",""
"","15","Get file","LMS service","Tue Mar 10 19:42:01 UTC 2026","passed","Tue Mar 10 19:42:01 UTC 2026","Get entity","Files","",""
"","263","Create file with empty filename","LMS service","Tue Mar 10 19:42:00 UTC 2026","passed","Tue Mar 10 19:42:01 UTC 2026","Validate entity","Files","",""
"","27","Get courses","LMS service","Tue Mar 10 19:41:55 UTC 2026","passed","Tue Mar 10 19:41:55 UTC 2026","Get entities","Courses","",""
"","30","Update courses","LMS service","Tue Mar 10 19:41:56 UTC 2026","passed","Tue Mar 10 19:41:56 UTC 2026","Update entity","Courses","",""
"","26","Get exercise","LMS service","Tue Mar 10 19:41:58 UTC 2026","passed","Tue Mar 10 19:41:58 UTC 2026","Get entity"," Exercises","",""
