"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Get exercise","LMS service","Thu Mar 12 09:07:19 UTC 2026","passed","Thu Mar 12 09:07:19 UTC 2026","Get entity"," Exercises","",""
"","553","Create user with domain: mail.ru","LMS service","Thu Mar 12 09:07:23 UTC 2026","passed","Thu Mar 12 09:07:24 UTC 2026","Create entity","Users","",""
"","297","Delete file","LMS service","Thu Mar 12 09:07:23 UTC 2026","passed","Thu Mar 12 09:07:23 UTC 2026","Delete entity","Files","",""
"","20","Create file","LMS service","Thu Mar 12 09:07:20 UTC 2026","passed","Thu Mar 12 09:07:20 UTC 2026","Create entity","Files","",""
"","24","Get exercises","LMS service","Thu Mar 12 09:07:20 UTC 2026","passed","Thu Mar 12 09:07:20 UTC 2026","Get entities"," Exercises","",""
"","308","Get courses","LMS service","Thu Mar 12 09:07:15 UTC 2026","passed","Thu Mar 12 09:07:16 UTC 2026","Get entities","Courses","",""
"","19","Get file","LMS service","Thu Mar 12 09:07:21 UTC 2026","passed","Thu Mar 12 09:07:21 UTC 2026","Get entity","Files","",""
"","298","Create exercise","LMS service","Thu Mar 12 09:07:17 UTC 2026","passed","Thu Mar 12 09:07:18 UTC 2026","Create entity"," Exercises","",""
"","541","Create user with domain: gmail.com","LMS service","Thu Mar 12 09:07:24 UTC 2026","passed","Thu Mar 12 09:07:24 UTC 2026","Create entity","Users","",""
"","23","Delete exercise","LMS service","Thu Mar 12 09:07:19 UTC 2026","passed","Thu Mar 12 09:07:19 UTC 2026","Delete entity"," Exercises","",""
"","309","Update courses","LMS service","Thu Mar 12 09:07:16 UTC 2026","passed","Thu Mar 12 09:07:17 UTC 2026","Update entity","Courses","",""
"","27","Create file with empty filename","LMS service","Thu Mar 12 09:07:21 UTC 2026","passed","Thu Mar 12 09:07:22 UTC 2026","Validate entity","Files","",""
"","264","Create file with empty directory","LMS service","Thu Mar 12 09:07:22 UTC 2026","passed","Thu Mar 12 09:07:23 UTC 2026","Validate entity","Files","",""
"","566","Login with correct email and password","LMS service","Thu Mar 12 09:07:15 UTC 2026","passed","Thu Mar 12 09:07:15 UTC 2026","Login","Authentication","",""
"","301","Create course","LMS service","Thu Mar 12 09:07:17 UTC 2026","passed","Thu Mar 12 09:07:17 UTC 2026","Create entity","Courses","",""
"","17","Get user me","LMS service","Thu Mar 12 09:07:25 UTC 2026","passed","Thu Mar 12 09:07:25 UTC 2026","Get entity","Users","",""
"","288","Create user with domain: example.com","LMS service","Thu Mar 12 09:07:24 UTC 2026","passed","Thu Mar 12 09:07:24 UTC 2026","Create entity","Users","",""
"","35","Update exercise","LMS service","Thu Mar 12 09:07:18 UTC 2026","passed","Thu Mar 12 09:07:18 UTC 2026","Update entity"," Exercises","",""
"","19","Get file with incorrect file id","LMS service","Thu Mar 12 09:07:24 UTC 2026","passed","Thu Mar 12 09:07:24 UTC 2026","Validate entity","Files","",""
