"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","523","Create user with domain: gmail.com","LMS service","Tue Mar 10 19:29:45 UTC 2026","passed","Tue Mar 10 19:29:45 UTC 2026","Create entity","Users","",""
"","0","test_regression_case","tests","Tue Mar 10 19:29:45 UTC 2026","passed","Tue Mar 10 19:29:45 UTC 2026","","test_pytest_markers","",""
"","290","Delete exercise","LMS service","Tue Mar 10 19:29:40 UTC 2026","passed","Tue Mar 10 19:29:40 UTC 2026","Delete entity"," Exercises","",""
"","14","Get user me","LMS service","Tue Mar 10 19:29:46 UTC 2026","passed","Tue Mar 10 19:29:46 UTC 2026","Get entity","Users","",""
"","21","Delete file","LMS service","Tue Mar 10 19:29:45 UTC 2026","passed","Tue Mar 10 19:29:45 UTC 2026","Delete entity","Files","",""
"","555","Login with correct email and password","LMS service","Tue Mar 10 19:29:37 UTC 2026","passed","Tue Mar 10 19:29:37 UTC 2026","Login","Authentication","",""
"","293","Create exercise","LMS service","Tue Mar 10 19:29:39 UTC 2026","passed","Tue Mar 10 19:29:39 UTC 2026","Create entity"," Exercises","",""
"","265","Create file with empty directory","LMS service","Tue Mar 10 19:29:44 UTC 2026","passed","Tue Mar 10 19:29:44 UTC 2026","Validate entity","Files","",""
"","17","Get exercise","LMS service","Tue Mar 10 19:29:40 UTC 2026","passed","Tue Mar 10 19:29:41 UTC 2026","Get entity"," Exercises","",""
"","35","Update courses","LMS service","Tue Mar 10 19:29:38 UTC 2026","passed","Tue Mar 10 19:29:38 UTC 2026","Update entity","Courses","",""
"","305","Get courses","LMS service","Tue Mar 10 19:29:37 UTC 2026","passed","Tue Mar 10 19:29:37 UTC 2026","Get entities","Courses","",""
"","267","Create file","LMS service","Tue Mar 10 19:29:42 UTC 2026","passed","Tue Mar 10 19:29:42 UTC 2026","Create entity","Files","",""
"","290","Create user with domain: example.com","LMS service","Tue Mar 10 19:29:45 UTC 2026","passed","Tue Mar 10 19:29:46 UTC 2026","Create entity","Users","",""
"","261","Create file with empty filename","LMS service","Tue Mar 10 19:29:43 UTC 2026","passed","Tue Mar 10 19:29:43 UTC 2026","Validate entity","Files","",""
"","288","Get exercises","LMS service","Tue Mar 10 19:29:41 UTC 2026","passed","Tue Mar 10 19:29:41 UTC 2026","Get entities"," Exercises","",""
"","303","Create course","LMS service","Tue Mar 10 19:29:39 UTC 2026","passed","Tue Mar 10 19:29:39 UTC 2026","Create entity","Courses","",""
"","15","Get file","LMS service","Tue Mar 10 19:29:43 UTC 2026","passed","Tue Mar 10 19:29:43 UTC 2026","Get entity","Files","",""
"","22","Update exercise","LMS service","Tue Mar 10 19:29:42 UTC 2026","passed","Tue Mar 10 19:29:42 UTC 2026","Update entity"," Exercises","",""
"","15","Get file with incorrect file id","LMS service","Tue Mar 10 19:29:45 UTC 2026","passed","Tue Mar 10 19:29:45 UTC 2026","Validate entity","Files","",""
"","535","Create user with domain: mail.ru","LMS service","Tue Mar 10 19:29:45 UTC 2026","passed","Tue Mar 10 19:29:46 UTC 2026","Create entity","Users","",""
