"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty filename","LMS service","Tue Mar 10 17:18:16 UTC 2026","passed","Tue Mar 10 17:18:16 UTC 2026","Validate entity","Files","",""
"","533","Create user with domain: gmail.com","LMS service","Tue Mar 10 17:18:18 UTC 2026","passed","Tue Mar 10 17:18:18 UTC 2026","Create entity","Users","",""
"","30","Update courses","LMS service","Tue Mar 10 17:18:11 UTC 2026","passed","Tue Mar 10 17:18:11 UTC 2026","Update entity","Courses","",""
"","0","test_regression_case","tests","Tue Mar 10 17:18:18 UTC 2026","passed","Tue Mar 10 17:18:18 UTC 2026","","test_pytest_markers","",""
"","24","Create exercise","LMS service","Tue Mar 10 17:18:12 UTC 2026","passed","Tue Mar 10 17:18:12 UTC 2026","Create entity"," Exercises","",""
"","12","Get user me","LMS service","Tue Mar 10 17:18:19 UTC 2026","passed","Tue Mar 10 17:18:19 UTC 2026","Get entity","Users","",""
"","29","Create course","LMS service","Tue Mar 10 17:18:12 UTC 2026","passed","Tue Mar 10 17:18:12 UTC 2026","Create entity","Courses","",""
"","259","Create file with empty directory","LMS service","Tue Mar 10 17:18:17 UTC 2026","passed","Tue Mar 10 17:18:17 UTC 2026","Validate entity","Files","",""
"","14","Get file with incorrect file id","LMS service","Tue Mar 10 17:18:18 UTC 2026","passed","Tue Mar 10 17:18:18 UTC 2026","Validate entity","Files","",""
"","30","Get courses","LMS service","Tue Mar 10 17:18:10 UTC 2026","passed","Tue Mar 10 17:18:10 UTC 2026","Get entities","Courses","",""
"","288","Get exercises","LMS service","Tue Mar 10 17:18:14 UTC 2026","passed","Tue Mar 10 17:18:14 UTC 2026","Get entities"," Exercises","",""
"","15","Get exercise","LMS service","Tue Mar 10 17:18:13 UTC 2026","passed","Tue Mar 10 17:18:13 UTC 2026","Get entity"," Exercises","",""
"","288","Create user with domain: example.com","LMS service","Tue Mar 10 17:18:18 UTC 2026","passed","Tue Mar 10 17:18:18 UTC 2026","Create entity","Users","",""
"","537","Create user with domain: mail.ru","LMS service","Tue Mar 10 17:18:18 UTC 2026","passed","Tue Mar 10 17:18:19 UTC 2026","Create entity","Users","",""
"","19","Update exercise","LMS service","Tue Mar 10 17:18:15 UTC 2026","passed","Tue Mar 10 17:18:15 UTC 2026","Update entity"," Exercises","",""
"","13","Get file","LMS service","Tue Mar 10 17:18:16 UTC 2026","passed","Tue Mar 10 17:18:16 UTC 2026","Get entity","Files","",""
"","262","Create file","LMS service","Tue Mar 10 17:18:15 UTC 2026","passed","Tue Mar 10 17:18:15 UTC 2026","Create entity","Files","",""
"","286","Login with correct email and password","LMS service","Tue Mar 10 17:18:10 UTC 2026","passed","Tue Mar 10 17:18:10 UTC 2026","Login","Authentication","",""
"","289","Delete exercise","LMS service","Tue Mar 10 17:18:13 UTC 2026","passed","Tue Mar 10 17:18:13 UTC 2026","Delete entity"," Exercises","",""
"","22","Delete file","LMS service","Tue Mar 10 17:18:18 UTC 2026","passed","Tue Mar 10 17:18:18 UTC 2026","Delete entity","Files","",""
