"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Get courses","LMS service","Wed Mar 18 11:04:59 UTC 2026","passed","Wed Mar 18 11:04:59 UTC 2026","Get entities","Courses","",""
"","17","Delete exercise","LMS service","Wed Mar 18 11:05:02 UTC 2026","passed","Wed Mar 18 11:05:02 UTC 2026","Delete entity"," Exercises","",""
"","528","Create user with domain: mail.ru","LMS service","Wed Mar 18 11:05:06 UTC 2026","passed","Wed Mar 18 11:05:06 UTC 2026","Create entity","Users","",""
"","24","Update exercise","LMS service","Wed Mar 18 11:05:01 UTC 2026","passed","Wed Mar 18 11:05:01 UTC 2026","Update entity"," Exercises","",""
"","24","Get exercises","LMS service","Wed Mar 18 11:05:03 UTC 2026","passed","Wed Mar 18 11:05:03 UTC 2026","Get entities"," Exercises","",""
"","262","Create file with empty directory","LMS service","Wed Mar 18 11:05:05 UTC 2026","passed","Wed Mar 18 11:05:06 UTC 2026","Validate entity","Files","",""
"","21","Delete file","LMS service","Wed Mar 18 11:05:06 UTC 2026","passed","Wed Mar 18 11:05:06 UTC 2026","Delete entity","Files","",""
"","14","Get file","LMS service","Wed Mar 18 11:05:04 UTC 2026","passed","Wed Mar 18 11:05:04 UTC 2026","Get entity","Files","",""
"","22","Create exercise","LMS service","Wed Mar 18 11:05:01 UTC 2026","passed","Wed Mar 18 11:05:01 UTC 2026","Create entity"," Exercises","",""
"","12","Get user me","LMS service","Wed Mar 18 11:05:08 UTC 2026","passed","Wed Mar 18 11:05:08 UTC 2026","Get entity","Users","",""
"","19","Get exercise","LMS service","Wed Mar 18 11:05:02 UTC 2026","passed","Wed Mar 18 11:05:02 UTC 2026","Get entity"," Exercises","",""
"","539","Login with correct email and password","LMS service","Wed Mar 18 11:04:58 UTC 2026","passed","Wed Mar 18 11:04:58 UTC 2026","Login","Authentication","",""
"","541","Create user with domain: gmail.com","LMS service","Wed Mar 18 11:05:07 UTC 2026","passed","Wed Mar 18 11:05:07 UTC 2026","Create entity","Users","",""
"","28","Create course","LMS service","Wed Mar 18 11:05:00 UTC 2026","passed","Wed Mar 18 11:05:00 UTC 2026","Create entity","Courses","",""
"","16","Get file with incorrect file id","LMS service","Wed Mar 18 11:05:07 UTC 2026","passed","Wed Mar 18 11:05:07 UTC 2026","Validate entity","Files","",""
"","35","Update courses","LMS service","Wed Mar 18 11:05:00 UTC 2026","passed","Wed Mar 18 11:05:00 UTC 2026","Update entity","Courses","",""
"","524","Create user with domain: example.com","LMS service","Wed Mar 18 11:05:06 UTC 2026","passed","Wed Mar 18 11:05:07 UTC 2026","Create entity","Users","",""
"","256","Create file with empty filename","LMS service","Wed Mar 18 11:05:04 UTC 2026","passed","Wed Mar 18 11:05:04 UTC 2026","Validate entity","Files","",""
"","25","Create file","LMS service","Wed Mar 18 11:05:03 UTC 2026","passed","Wed Mar 18 11:05:03 UTC 2026","Create entity","Files","",""
