"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","537","Login with correct email and password","LMS service","Wed Mar 18 11:21:23 UTC 2026","passed","Wed Mar 18 11:21:23 UTC 2026","Login","Authentication","",""
"","18","Get file","LMS service","Wed Mar 18 11:21:29 UTC 2026","passed","Wed Mar 18 11:21:29 UTC 2026","Get entity","Files","",""
"","21","Get exercises","LMS service","Wed Mar 18 11:21:28 UTC 2026","passed","Wed Mar 18 11:21:28 UTC 2026","Get entities"," Exercises","",""
"","540","Create user with domain: gmail.com","LMS service","Wed Mar 18 11:21:31 UTC 2026","passed","Wed Mar 18 11:21:32 UTC 2026","Create entity","Users","",""
"","297","Delete file","LMS service","Wed Mar 18 11:21:30 UTC 2026","passed","Wed Mar 18 11:21:31 UTC 2026","Delete entity","Files","",""
"","26","Update exercise","LMS service","Wed Mar 18 11:21:26 UTC 2026","passed","Wed Mar 18 11:21:26 UTC 2026","Update entity"," Exercises","",""
"","262","Create file with empty directory","LMS service","Wed Mar 18 11:21:30 UTC 2026","passed","Wed Mar 18 11:21:30 UTC 2026","Validate entity","Files","",""
"","26","Create file","LMS service","Wed Mar 18 11:21:28 UTC 2026","passed","Wed Mar 18 11:21:28 UTC 2026","Create entity","Files","",""
"","24","Get exercise","LMS service","Wed Mar 18 11:21:27 UTC 2026","passed","Wed Mar 18 11:21:27 UTC 2026","Get entity"," Exercises","",""
"","19","Get file with incorrect file id","LMS service","Wed Mar 18 11:21:31 UTC 2026","passed","Wed Mar 18 11:21:31 UTC 2026","Validate entity","Files","",""
"","547","Create user with domain: mail.ru","LMS service","Wed Mar 18 11:21:31 UTC 2026","passed","Wed Mar 18 11:21:31 UTC 2026","Create entity","Users","",""
"","265","Create file with empty filename","LMS service","Wed Mar 18 11:21:29 UTC 2026","passed","Wed Mar 18 11:21:29 UTC 2026","Validate entity","Files","",""
"","35","Update courses","LMS service","Wed Mar 18 11:21:24 UTC 2026","passed","Wed Mar 18 11:21:24 UTC 2026","Update entity","Courses","",""
"","25","Create exercise","LMS service","Wed Mar 18 11:21:26 UTC 2026","passed","Wed Mar 18 11:21:26 UTC 2026","Create entity"," Exercises","",""
"","290","Create user with domain: example.com","LMS service","Wed Mar 18 11:21:31 UTC 2026","passed","Wed Mar 18 11:21:32 UTC 2026","Create entity","Users","",""
"","19","Delete exercise","LMS service","Wed Mar 18 11:21:27 UTC 2026","passed","Wed Mar 18 11:21:27 UTC 2026","Delete entity"," Exercises","",""
"","26","Create course","LMS service","Wed Mar 18 11:21:24 UTC 2026","passed","Wed Mar 18 11:21:24 UTC 2026","Create entity","Courses","",""
"","28","Get courses","LMS service","Wed Mar 18 11:21:23 UTC 2026","passed","Wed Mar 18 11:21:23 UTC 2026","Get entities","Courses","",""
"","12","Get user me","LMS service","Wed Mar 18 11:21:32 UTC 2026","passed","Wed Mar 18 11:21:32 UTC 2026","Get entity","Users","",""
