"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","302","Create file with empty directory","LMS service","Tue Mar 10 17:24:27 UTC 2026","passed","Tue Mar 10 17:24:27 UTC 2026","Validate entity","Files","",""
"","22","Create exercise","LMS service","Tue Mar 10 17:24:22 UTC 2026","passed","Tue Mar 10 17:24:22 UTC 2026","Create entity"," Exercises","",""
"","12","Get user me","LMS service","Tue Mar 10 17:24:30 UTC 2026","passed","Tue Mar 10 17:24:30 UTC 2026","Get entity","Users","",""
"","298","Create file","LMS service","Tue Mar 10 17:24:25 UTC 2026","passed","Tue Mar 10 17:24:25 UTC 2026","Create entity","Files","",""
"","27","Create course","LMS service","Tue Mar 10 17:24:21 UTC 2026","passed","Tue Mar 10 17:24:21 UTC 2026","Create entity","Courses","",""
"","0","test_regression_case","tests","Tue Mar 10 17:24:28 UTC 2026","passed","Tue Mar 10 17:24:28 UTC 2026","","test_pytest_markers","",""
"","319","Delete exercise","LMS service","Tue Mar 10 17:24:23 UTC 2026","passed","Tue Mar 10 17:24:23 UTC 2026","Delete entity"," Exercises","",""
"","323","Create user with domain: example.com","LMS service","Tue Mar 10 17:24:29 UTC 2026","passed","Tue Mar 10 17:24:29 UTC 2026","Create entity","Users","",""
"","14","Get file","LMS service","Tue Mar 10 17:24:26 UTC 2026","passed","Tue Mar 10 17:24:26 UTC 2026","Get entity","Files","",""
"","297","Create file with empty filename","LMS service","Tue Mar 10 17:24:26 UTC 2026","passed","Tue Mar 10 17:24:27 UTC 2026","Validate entity","Files","",""
"","13","Get file with incorrect file id","LMS service","Tue Mar 10 17:24:29 UTC 2026","passed","Tue Mar 10 17:24:29 UTC 2026","Validate entity","Files","",""
"","332","Get courses","LMS service","Tue Mar 10 17:24:20 UTC 2026","passed","Tue Mar 10 17:24:20 UTC 2026","Get entities","Courses","",""
"","599","Create user with domain: gmail.com","LMS service","Tue Mar 10 17:24:28 UTC 2026","passed","Tue Mar 10 17:24:29 UTC 2026","Create entity","Users","",""
"","321","Get exercise","LMS service","Tue Mar 10 17:24:23 UTC 2026","passed","Tue Mar 10 17:24:23 UTC 2026","Get entity"," Exercises","",""
"","320","Get exercises","LMS service","Tue Mar 10 17:24:24 UTC 2026","passed","Tue Mar 10 17:24:24 UTC 2026","Get entities"," Exercises","",""
"","25","Update courses","LMS service","Tue Mar 10 17:24:21 UTC 2026","passed","Tue Mar 10 17:24:21 UTC 2026","Update entity","Courses","",""
"","605","Create user with domain: mail.ru","LMS service","Tue Mar 10 17:24:29 UTC 2026","passed","Tue Mar 10 17:24:29 UTC 2026","Create entity","Users","",""
"","20","Delete file","LMS service","Tue Mar 10 17:24:28 UTC 2026","passed","Tue Mar 10 17:24:28 UTC 2026","Delete entity","Files","",""
"","621","Login with correct email and password","LMS service","Tue Mar 10 17:24:19 UTC 2026","passed","Tue Mar 10 17:24:20 UTC 2026","Login","Authentication","",""
"","19","Update exercise","LMS service","Tue Mar 10 17:24:25 UTC 2026","passed","Tue Mar 10 17:24:25 UTC 2026","Update entity"," Exercises","",""
