"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","522","Create user with domain: mail.ru","LMS service","Thu Mar 12 14:56:04 UTC 2026","passed","Thu Mar 12 14:56:05 UTC 2026","Create entity","Users","",""
"","262","Create file with empty filename","LMS service","Thu Mar 12 14:56:03 UTC 2026","passed","Thu Mar 12 14:56:03 UTC 2026","Validate entity","Files","",""
"","537","Create user with domain: gmail.com","LMS service","Thu Mar 12 14:56:05 UTC 2026","passed","Thu Mar 12 14:56:06 UTC 2026","Create entity","Users","",""
"","16","Get file with incorrect file id","LMS service","Thu Mar 12 14:56:05 UTC 2026","passed","Thu Mar 12 14:56:05 UTC 2026","Validate entity","Files","",""
"","19","Get exercises","LMS service","Thu Mar 12 14:56:02 UTC 2026","passed","Thu Mar 12 14:56:02 UTC 2026","Get entities"," Exercises","",""
"","30","Update courses","LMS service","Thu Mar 12 14:55:58 UTC 2026","passed","Thu Mar 12 14:55:58 UTC 2026","Update entity","Courses","",""
"","29","Get courses","LMS service","Thu Mar 12 14:55:57 UTC 2026","passed","Thu Mar 12 14:55:57 UTC 2026","Get entities","Courses","",""
"","549","Login with correct email and password","LMS service","Thu Mar 12 14:55:56 UTC 2026","passed","Thu Mar 12 14:55:57 UTC 2026","Login","Authentication","",""
"","13","Get user me","LMS service","Thu Mar 12 14:56:06 UTC 2026","passed","Thu Mar 12 14:56:06 UTC 2026","Get entity","Users","",""
"","18","Delete exercise","LMS service","Thu Mar 12 14:56:01 UTC 2026","passed","Thu Mar 12 14:56:01 UTC 2026","Delete entity"," Exercises","",""
"","21","Delete file","LMS service","Thu Mar 12 14:56:04 UTC 2026","passed","Thu Mar 12 14:56:04 UTC 2026","Delete entity","Files","",""
"","265","Create file with empty directory","LMS service","Thu Mar 12 14:56:04 UTC 2026","passed","Thu Mar 12 14:56:04 UTC 2026","Validate entity","Files","",""
"","22","Create file","LMS service","Thu Mar 12 14:56:02 UTC 2026","passed","Thu Mar 12 14:56:02 UTC 2026","Create entity","Files","",""
"","19","Get exercise","LMS service","Thu Mar 12 14:56:01 UTC 2026","passed","Thu Mar 12 14:56:01 UTC 2026","Get entity"," Exercises","",""
"","15","Get file","LMS service","Thu Mar 12 14:56:03 UTC 2026","passed","Thu Mar 12 14:56:03 UTC 2026","Get entity","Files","",""
"","31","Create course","LMS service","Thu Mar 12 14:55:58 UTC 2026","passed","Thu Mar 12 14:55:58 UTC 2026","Create entity","Courses","",""
"","27","Create exercise","LMS service","Thu Mar 12 14:55:59 UTC 2026","passed","Thu Mar 12 14:55:59 UTC 2026","Create entity"," Exercises","",""
"","526","Create user with domain: example.com","LMS service","Thu Mar 12 14:56:05 UTC 2026","passed","Thu Mar 12 14:56:05 UTC 2026","Create entity","Users","",""
"","22","Update exercise","LMS service","Thu Mar 12 14:55:59 UTC 2026","passed","Thu Mar 12 14:55:59 UTC 2026","Update entity"," Exercises","",""
