"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","Create file with empty directory","LMS service","Tue Mar 10 16:57:25 UTC 2026","passed","Tue Mar 10 16:57:25 UTC 2026","Validate entity","Files","",""
"","18","Create file with empty filename","LMS service","Tue Mar 10 16:57:24 UTC 2026","passed","Tue Mar 10 16:57:24 UTC 2026","Validate entity","Files","",""
"","19","Create file","LMS service","Tue Mar 10 16:57:23 UTC 2026","passed","Tue Mar 10 16:57:23 UTC 2026","Create entity","Files","",""
"","285","Login with correct email and password","LMS service","Tue Mar 10 16:57:18 UTC 2026","passed","Tue Mar 10 16:57:18 UTC 2026","Login","Authentication","",""
"","296","Get courses","LMS service","Tue Mar 10 16:57:19 UTC 2026","passed","Tue Mar 10 16:57:19 UTC 2026","Get entities","Courses","",""
"","13","Get file","LMS service","Tue Mar 10 16:57:24 UTC 2026","passed","Tue Mar 10 16:57:24 UTC 2026","Get entity","Files","",""
"","297","Update courses","LMS service","Tue Mar 10 16:57:19 UTC 2026","passed","Tue Mar 10 16:57:19 UTC 2026","Update entity","Courses","",""
"","290","Update exercise","LMS service","Tue Mar 10 16:57:23 UTC 2026","passed","Tue Mar 10 16:57:23 UTC 2026","Update entity"," Exercises","",""
"","0","test_regression_case","tests","Tue Mar 10 16:57:25 UTC 2026","passed","Tue Mar 10 16:57:25 UTC 2026","","test_pytest_markers","",""
"","11","Get user me","LMS service","Tue Mar 10 16:57:27 UTC 2026","passed","Tue Mar 10 16:57:27 UTC 2026","Get entity","Users","",""
"","529","Create user with domain: example.com","LMS service","Tue Mar 10 16:57:26 UTC 2026","passed","Tue Mar 10 16:57:27 UTC 2026","Create entity","Users","",""
"","290","Delete exercise","LMS service","Tue Mar 10 16:57:21 UTC 2026","passed","Tue Mar 10 16:57:21 UTC 2026","Delete entity"," Exercises","",""
"","15","Get exercise","LMS service","Tue Mar 10 16:57:22 UTC 2026","passed","Tue Mar 10 16:57:22 UTC 2026","Get entity"," Exercises","",""
"","26","Delete file","LMS service","Tue Mar 10 16:57:25 UTC 2026","passed","Tue Mar 10 16:57:25 UTC 2026","Delete entity","Files","",""
"","24","Create exercise","LMS service","Tue Mar 10 16:57:20 UTC 2026","passed","Tue Mar 10 16:57:20 UTC 2026","Create entity"," Exercises","",""
"","517","Create user with domain: gmail.com","LMS service","Tue Mar 10 16:57:25 UTC 2026","passed","Tue Mar 10 16:57:26 UTC 2026","Create entity","Users","",""
"","30","Create course","LMS service","Tue Mar 10 16:57:20 UTC 2026","passed","Tue Mar 10 16:57:20 UTC 2026","Create entity","Courses","",""
"","14","Get file with incorrect file id","LMS service","Tue Mar 10 16:57:27 UTC 2026","passed","Tue Mar 10 16:57:27 UTC 2026","Validate entity","Files","",""
"","21","Get exercises","LMS service","Tue Mar 10 16:57:22 UTC 2026","passed","Tue Mar 10 16:57:22 UTC 2026","Get entities"," Exercises","",""
"","550","Create user with domain: mail.ru","LMS service","Tue Mar 10 16:57:27 UTC 2026","passed","Tue Mar 10 16:57:27 UTC 2026","Create entity","Users","",""
