"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","Create file with empty directory","LMS service","Tue Mar 10 17:37:16 UTC 2026","passed","Tue Mar 10 17:37:16 UTC 2026","Validate entity","Files","",""
"","518","Create user with domain: gmail.com","LMS service","Tue Mar 10 17:37:17 UTC 2026","passed","Tue Mar 10 17:37:17 UTC 2026","Create entity","Users","",""
"","291","Update exercise","LMS service","Tue Mar 10 17:37:14 UTC 2026","passed","Tue Mar 10 17:37:14 UTC 2026","Update entity"," Exercises","",""
"","543","Create user with domain: mail.ru","LMS service","Tue Mar 10 17:37:17 UTC 2026","passed","Tue Mar 10 17:37:18 UTC 2026","Create entity","Users","",""
"","14","Get user me","LMS service","Tue Mar 10 17:37:19 UTC 2026","passed","Tue Mar 10 17:37:19 UTC 2026","Get entity","Users","",""
"","302","Update courses","LMS service","Tue Mar 10 17:37:10 UTC 2026","passed","Tue Mar 10 17:37:10 UTC 2026","Update entity","Courses","",""
"","20","Delete file","LMS service","Tue Mar 10 17:37:17 UTC 2026","passed","Tue Mar 10 17:37:17 UTC 2026","Delete entity","Files","",""
"","305","Get courses","LMS service","Tue Mar 10 17:37:09 UTC 2026","passed","Tue Mar 10 17:37:10 UTC 2026","Get entities","Courses","",""
"","267","Create file","LMS service","Tue Mar 10 17:37:14 UTC 2026","passed","Tue Mar 10 17:37:14 UTC 2026","Create entity","Files","",""
"","289","Get exercises","LMS service","Tue Mar 10 17:37:13 UTC 2026","passed","Tue Mar 10 17:37:14 UTC 2026","Get entities"," Exercises","",""
"","277","Create file with empty filename","LMS service","Tue Mar 10 17:37:15 UTC 2026","passed","Tue Mar 10 17:37:16 UTC 2026","Validate entity","Files","",""
"","298","Create exercise","LMS service","Tue Mar 10 17:37:11 UTC 2026","passed","Tue Mar 10 17:37:11 UTC 2026","Create entity"," Exercises","",""
"","290","Create user with domain: example.com","LMS service","Tue Mar 10 17:37:17 UTC 2026","passed","Tue Mar 10 17:37:18 UTC 2026","Create entity","Users","",""
"","16","Get file with incorrect file id","LMS service","Tue Mar 10 17:37:17 UTC 2026","passed","Tue Mar 10 17:37:17 UTC 2026","Validate entity","Files","",""
"","20","Get exercise","LMS service","Tue Mar 10 17:37:13 UTC 2026","passed","Tue Mar 10 17:37:13 UTC 2026","Get entity"," Exercises","",""
"","286","Login with correct email and password","LMS service","Tue Mar 10 17:37:09 UTC 2026","passed","Tue Mar 10 17:37:09 UTC 2026","Login","Authentication","",""
"","14","Get file","LMS service","Tue Mar 10 17:37:15 UTC 2026","passed","Tue Mar 10 17:37:15 UTC 2026","Get entity","Files","",""
"","288","Delete exercise","LMS service","Tue Mar 10 17:37:12 UTC 2026","passed","Tue Mar 10 17:37:12 UTC 2026","Delete entity"," Exercises","",""
"","0","test_regression_case","tests","Tue Mar 10 17:37:17 UTC 2026","passed","Tue Mar 10 17:37:17 UTC 2026","","test_pytest_markers","",""
"","306","Create course","LMS service","Tue Mar 10 17:37:11 UTC 2026","passed","Tue Mar 10 17:37:11 UTC 2026","Create entity","Courses","",""
